Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location
NR,21623,ECS,017,A01,M,4.000,Data Logic & Computing,TR,01:40 pm-03:00 pm,60,0,60,999,0,999,0,0,0,Patrice A. Koehl (P),01/08-03/15,TBA
 , , , , , , , ,T,12:10 pm-01:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21624,ECS,017,A02,M,4.000,Data Logic & Computing,TR,01:40 pm-03:00 pm,60,0,60,999,0,999,0,0,0,Patrice A. Koehl (P),01/08-03/15,TBA
 , , , , , , , ,R,12:10 pm-01:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21626,ECS,020,A01,M,4.000,Discrete Math for CS,M,08:00 am-08:50 am,63,0,63,999,0,999,0,0,0,TBA,01/08-03/15,TBA
 , , , , , , , ,TR,03:10 pm-04:30 pm, , , , , , , , , ,Vidhyacharan Bhaskar (P),01/08-03/15,TBA
NR,21627,ECS,020,A02,M,4.000,Discrete Math for CS,TR,03:10 pm-04:30 pm,62,0,62,999,0,999,0,0,0,Vidhyacharan Bhaskar (P),01/08-03/15,TBA
 , , , , , , , ,T,09:00 am-09:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21628,ECS,020,A03,M,4.000,Discrete Math for CS,TR,03:10 pm-04:30 pm,62,0,62,999,0,999,0,0,0,Vidhyacharan Bhaskar (P),01/08-03/15,TBA
 , , , , , , , ,W,12:10 pm-01:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21629,ECS,020,A04,M,4.000,Discrete Math for CS,TR,03:10 pm-04:30 pm,63,0,63,999,0,999,0,0,0,Vidhyacharan Bhaskar (P),01/08-03/15,TBA
 , , , , , , , ,F,03:10 pm-04:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21630,ECS,032A,A01,M,4.000,Intro to Programming,MWF,08:00 am-08:50 am,58,0,58,999,0,999,0,0,0,Daryl P. Posnett (P),01/08-03/15,TBA
 , , , , , , , ,R,05:10 pm-06:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21631,ECS,032A,A02,M,4.000,Intro to Programming,MWF,08:00 am-08:50 am,58,0,58,999,0,999,0,0,0,Daryl P. Posnett (P),01/08-03/15,TBA
 , , , , , , , ,M,11:00 am-11:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21632,ECS,032A,A03,M,4.000,Intro to Programming,MWF,08:00 am-08:50 am,58,0,58,999,0,999,0,0,0,Daryl P. Posnett (P),01/08-03/15,TBA
 , , , , , , , ,T,03:10 pm-04:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21633,ECS,032A,A04,M,4.000,Intro to Programming,MWF,08:00 am-08:50 am,58,0,58,999,0,999,0,0,0,Daryl P. Posnett (P),01/08-03/15,TBA
 , , , , , , , ,R,03:10 pm-04:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21634,ECS,032A,A05,M,4.000,Intro to Programming,MWF,08:00 am-08:50 am,58,0,58,999,0,999,0,0,0,Daryl P. Posnett (P),01/08-03/15,TBA
 , , , , , , , ,F,12:10 pm-01:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21636,ECS,032A,B01,M,4.000,Intro to Programming,M,08:00 am-08:50 am,49,0,49,999,0,999,0,0,0,TBA,01/08-03/15,TBA
