Subj,Crse,Sec_x,Cap_x,CRN,Title,Days,Time,Instructor,Date (MM/DD),Location
ECS,017,A,120,21623,Data Logic & Computing,TR,01:40 pm-03:00 pm,Patrice A. Koehl (P),01/08-03/15,TBA
ECS,017,A,120,21624,Data Logic & Computing,TR,01:40 pm-03:00 pm,Patrice A. Koehl (P),01/08-03/15,TBA
ECS,020,A,250,21626,Discrete Math for CS,M,08:00 am-08:50 am,TBA,01/08-03/15,TBA
ECS,020,A,250,21627,Discrete Math for CS,TR,03:10 pm-04:30 pm,Vidhyacharan Bhaskar (P),01/08-03/15,TBA
ECS,020,A,250,21628,Discrete Math for CS,TR,03:10 pm-04:30 pm,Vidhyacharan Bhaskar (P),01/08-03/15,TBA
ECS,020,A,250,21629,Discrete Math for CS,TR,03:10 pm-04:30 pm,Vidhyacharan Bhaskar (P),01/08-03/15,TBA
ECS,032A,A,290,21630,Intro to Programming,MWF,08:00 am-08:50 am,Daryl P. Posnett (P),01/08-03/15,TBA
ECS,032A,A,290,21631,Intro to Programming,MWF,08:00 am-08:50 am,Daryl P. Posnett (P),01/08-03/15,TBA
ECS,032A,A,290,21632,Intro to Programming,MWF,08:00 am-08:50 am,Daryl P. Posnett (P),01/08-03/15,TBA
ECS,032A,A,290,21633,Intro to Programming,MWF,08:00 am-08:50 am,Daryl P. Posnett (P),01/08-03/15,TBA
ECS,032A,A,290,21634,Intro to Programming,MWF,08:00 am-08:50 am,Daryl P. Posnett (P),01/08-03/15,TBA
ECS,032A,A,290,21636,Intro to Programming,M,08:00 am-08:50 am,TBA,01/08-03/15,TBA
ECS,032A,A,290,21637,Intro to Programming,M,09:00 am-09:50 am,TBA,01/08-03/15,TBA
ECS,032A,A,290,21638,Intro to Programming,M,10:00 am-10:50 am,TBA,01/08-03/15,TBA
ECS,032A,A,290,44587,Intro to Programming,M,11:00 am-11:50 am,TBA,01/08-03/15,TBA
ECS,032A,A,290,44588,Intro to Programming,M,12:10 pm-01:00 pm,TBA,01/08-03/15,TBA
ECS,032A,A,290,44589,Intro to Programming,M,01:10 pm-02:00 pm,TBA,01/08-03/15,TBA
ECS,032A,B,290,21630,Intro to Programming,MWF,08:00 am-08:50 am,Daryl P. Posnett (P),01/08-03/15,TBA
ECS,032A,B,290,21631,Intro to Programming,MWF,08:00 am-08:50 am,Daryl P. Posnett (P),01/08-03/15,TBA
ECS,032A,B,290,21632,Intro to Programming,MWF,08:00 am-08:50 am,Daryl P. Posnett (P),01/08-03/15,TBA
